"FREQ","TIME_PERIOD","GEO_PICT","INDICATOR","TRADE_FLOW","COMMODITY","COUNTERPART","TRANSPORT","CURRENCY","OBS_VALUE","UNIT_MEASURE","UNIT_MULT","OBS_STATUS","DATA_SOURCE","OBS_COMMENT"
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",83094.37,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",739767.96,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",234179.77,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",1337199.4,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",71964.82,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",99783.38,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",7491.04,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",57918.81,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",76531.09,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",14609.37,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",242344.49,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",835.96,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",510012.2,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",435399.12,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",299647.91,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",8628.17,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",144551.99,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",354.03,"AUD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","_T","DOM",1351.55,"AUD","3","","",""
"A","2023","TV","AMT","X","_T","_T","_T","DOM",102,"AUD","3","","",""
"A","2023","TV","AMT","X","_T","_T","_T","DOM",204,"AUD","3","","",""
"M","2023-9","TV","AMT","X","_T","_T","_T","DOM",102,"AUD","3","","",""
"M","2023-9","TV","AMT","X","_T","_T","_T","DOM",204,"AUD","3","","",""
"A","2023","TV","AMT","X","I","_T","_T","DOM",102,"AUD","3","","",""
"A","2023","TV","AMT","X","IV","_T","_T","DOM",204,"AUD","3","","",""
"M","2023-9","TV","AMT","X","I","_T","_T","DOM",102,"AUD","3","","",""
"M","2023-9","TV","AMT","X","IV","_T","_T","DOM",204,"AUD","3","","",""
"A","2023","TV","AMT","M","_T","AU","_T","DOM",2647376.14,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","CN","_T","DOM",1421614.79,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","FJ","_T","DOM",8837937.38,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","HK","_T","DOM",1212.45,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","ID","_T","DOM",73948.71,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","IL","_T","DOM",39394.57,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","JP","_T","DOM",885397.7,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","MY","_T","DOM",30101.99,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","NZ","_T","DOM",1103930.07,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","PH","_T","DOM",63199.63,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","TH","_T","DOM",74224.07,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","TO","_T","DOM",3891,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","TW","_T","DOM",411027.51,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","US","_T","DOM",12536.54,"NZD","3","","",""
"A","2023","TV","AMT","X","_T","FJ","_T","DOM",102,"NZD","3","","",""
"A","2023","TV","AMT","X","_T","NZ","_T","DOM",204,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","AU","_T","DOM",689262.42,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","AU","_T","DOM",1083479.57,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","AU","_T","DOM",874634.15,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","CN","_T","DOM",498177.11,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","CN","_T","DOM",256738.05,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","CN","_T","DOM",666699.63,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","FJ","_T","DOM",2701781.93,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","FJ","_T","DOM",3125371.5,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","FJ","_T","DOM",3010783.95,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","HK","_T","DOM",1212.45,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","ID","_T","DOM",1805.7,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","ID","_T","DOM",72143.01,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","IL","_T","DOM",39394.57,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","JP","_T","DOM",863314.27,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","JP","_T","DOM",22083.43,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","MY","_T","DOM",30101.99,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","NZ","_T","DOM",417410.06,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","NZ","_T","DOM",514027.31,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","NZ","_T","DOM",172492.7,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","PH","_T","DOM",63199.63,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","TH","_T","DOM",1803.62,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","TH","_T","DOM",70616.83,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","TH","_T","DOM",1803.62,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","TO","_T","DOM",3891,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","TW","_T","DOM",350460.67,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","TW","_T","DOM",60566.84,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","US","_T","DOM",9353.21,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","US","_T","DOM",3183.33,"NZD","3","","",""
"M","2023-9","TV","AMT","X","_T","FJ","_T","DOM",102,"NZD","3","","",""
"M","2023-9","TV","AMT","X","_T","NZ","_T","DOM",204,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","_T","FFAIR","DOM",41921.95,"NZD","3","","",""
"A","2023","TV","AMT","M","_T","_T","FFSEA","DOM",15563870.6,"NZD","3","","",""
"A","2023","TV","AMT","X","_T","_T","FFSEA","DOM",306,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","_T","FFAIR","DOM",15617.1,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","_T","FFAIR","DOM",22536.51,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","FFAIR","DOM",3768.34,"NZD","3","","",""
"M","2023-7","TV","AMT","M","_T","_T","FFSEA","DOM",5603785.6,"NZD","3","","",""
"M","2023-8","TV","AMT","M","_T","_T","FFSEA","DOM",5160900.5,"NZD","3","","",""
"M","2023-9","TV","AMT","M","_T","_T","FFSEA","DOM",4799184.5,"NZD","3","","",""
"M","2023-9","TV","AMT","X","_T","_T","FFSEA","DOM",306,"NZD","3","","",""
